num,nom,annee_naissance,annee_decès,profession
179629,Inzelt Annamária,,,
242861,Rochefort Renée ,1924.0,2012.0,géographe
80609,Hammid Christine,,,
179837,Nowicki Lawrence W.,,,
82241,Naraghi Ehsan ,1926.0,2012.0,sociologue
72009,Ploix,,,
80242,Pruner-Bey ,1808.0,1882.0,anthropologue
auteur_abpo_1256,Léonard Jacques ,1935.0,1988.0,
55607,Collins Harry,,,
8512,Relieu Marc,,,
215149,Bennett Fionn,,,
235788,Baux-Pociello Elisabeth,,,
262852,Corbet Alice ,1982.0,,
271553,Milesi Laurent,,,professeur
8475,Boichard Jean ,1926.0,1992.0,géographe
64860,Prigent Vivien ,1971.0,,chercheur
282903,Péré-Noguès Sandra,,,archéologue
73765,Bernus Edmond ,1929.0,2004.0,géographe
215433,Guillaume Henri ,1948.0,,
254366,Sarotte Georges-Michel ,1939.0,,
400821,Benamrane Djilali,,,
244709,Alexeeva Olga ,1981.0,,
234064,Manale Margaret,,,
0004771,Morin Claude,,,
156976,Risser Hélène,,,
209633,Novarina Valère,,,
174615,Regnault Félix ,1863.0,1938.0,historien
271269,Bérard Victor ,1864.0,1931.0,géographe
225088,d,,,
235113,Bernard Michel,,,
230194,Moatassime Ahmed,,,sociologue
288265,Étienne Gilbert,,,
238658,Chamak Brigitte,,,ingénieur
591363,Longo Giuseppe,,,professeur
35168,Halperin V.,,,
68991,Messamah Khélifa,,,economiste
275820,Blanchet Didier ,1957.0,,autre
73465,Marchand Olivier ,1950.0,,
26559,Godement François ,1949.0,,professeur
253874,Gilhodes Pierre,,,
29696,Morazé Charles ,1913.0,2003.0,géographe
285711,Raphaël F.,,,
282445,Rabatel Alain ,1954.0,,professeur
402753,Bensignor François,,,journaliste
30551,Bourdieu Pierre ,1930.0,2002.0,sociologue
205936,Fougeyrollas-Schwebel Dominique,,,
150443,Mousseau Jacques ,1932.0,,
216892,Hervé Georges ,1855.0,1932.0,
62898,Ducros Albert ,1934.0,,anthropologue
55752,Taillefer François ,1917.0,2006.0,géographe
168296,de Dijn Herman,,,théologue
731769,Vangheluwe Arne,,,
842815,Van Lerberghe Clélia,,,
404404,Jugnet Daniel,,,
60507,Egly Max,,,
689770,Mendel Gérard ,1930.0,2004.0,anthropologue
233720,Hanafi Sari,,,sociologue
402800,Nissant Stéphane,,,
402801,Molignier Jean-Marck,,,
214293,Molinatti Grégoire,,,
179425,Girault Yves ,1956.0,,
180636,Vukadinovic Nebojsa ,1959.0,,
11637,Masini Jean ,1938.0,,economiste
267978,Pfaff-Reydellet Maud,,,
62142,Le Naëlou Anne,,,sociologue
76109,Freyss Jean,,,ingénieur
79816,Rivet Paul ,1876.0,1958.0,fondateur
27733,Favre Pierre ,1941.0,,professeur
194798,Masson Diane,,,autre
155551,Devaux Jean-Michel,,,
370729,Ferrier Michaël ,1964.0,,professeur
733365,Malet André ,1920.0,1989.0,théologue
67385,Meynaud Jean ,1914.0,1972.0,professeur
0005351,Lamonde Yvan,,,
659325,Rouzé Michel ,1910.0,2004.0,
147296,Billard G.,,,
147297,Dodel P.,,,
47381,Arénilla Louis ,,2003.0,philosophe
26997,Hollifield James ,1954.0,,professeur
57851,Charbit Yves,,,directeur
76797,Foncin Pierre ,1841.0,1916.0,géographe
26977,Siwek-Pouydesseau Jeanne,,,
262853,Dedenis Julien,,,
46867,Dedieu Jean-Philippe,,,
39699,Mouradian Claire ,1951.0,,historien
72252,Robin Paul ,1837.0,1912.0,directeur
257680,Charle Christophe ,1951.0,,historien
251074,Boutoulle Frédéric ,1964.0,,autre
78006,Bourgin Georges ,1879.0,1958.0,historien
265502,Coulardeau J ,1945.0,,autre
0005561,Marsolais-Roy Andréa,,,
0005562,Takla Loriane,,,
0005563,Sorce-Lévesque Vanessa,,,
72226,Zaborowski S. ,1851.0,1929.0,anthropologue
