mot,num_article,frequence
europ,667,1
des,667,3
plus,667,1
européen,667,1
europ,668,5
plus,668,1
européen,668,1
europ,669,6
pay,669,1
tout,669,1
entre,669,1
europ,670,2
européen,670,1
europ,671,3
européen,671,1
europ,672,5
européen,672,1
europ,673,3
plus,673,1
européen,673,1
entre,673,1
europ,674,2
des,674,2
plus,674,1
europ,675,3
européen,675,1
tout,675,1
europ,676,6
polit,676,1
comm,676,1
europ,677,5
polit,677,1
franc,677,1
entre,677,1
europ,678,6
pay,678,2
européen,678,1
europ,679,5
européen,679,1
europ,680,14
europ,681,7
plus,681,2
européen,681,2
europ,682,3
pay,682,2
europ,683,5
plus,683,1
pay,683,1
entre,683,1
europ,684,3
tout,684,3
europ,685,6
pay,685,1
entre,685,1
europ,686,4
polit,686,1
européen,686,1
comm,686,2
entre,686,1
europ,687,4
comm,687,1
europ,688,4
europ,689,4
comm,689,1
entre,689,1
europ,690,4
entre,690,1
europ,691,3
des,691,1
europ,692,5
franc,692,1
europ,693,8
plus,693,1
europ,694,5
europ,695,3
des,695,1
européen,695,3
tout,695,2
europ,696,5
plus,696,1
europ,697,4
pay,697,1
européen,697,1
comm,697,1
europ,698,4
pay,698,1
europ,699,4
plus,699,1
européen,699,1
europ,700,5
polit,700,2
européen,700,1
entre,700,1
europ,701,6
plus,701,1
pay,701,1
européen,701,2
entre,701,1
europ,702,7
franc,702,1
europ,703,6
polit,703,1
europ,704,6
plus,704,2
polit,704,2
européen,704,1
entre,704,1
europ,705,3
europ,706,10
polit,706,1
europ,707,2
europ,708,5
plus,708,1
polit,708,1
franc,708,1
europ,709,3
europ,710,4
polit,710,3
européen,710,1
entre,710,1
europ,711,4
plus,711,1
pay,711,1
polit,711,1
européen,711,1
tout,711,1
entre,711,1
europ,712,2
polit,712,1
europ,713,2
des,713,2
plus,713,2
polit,713,1
franc,713,1
comm,713,1
europ,714,3
polit,714,2
franc,714,2
europ,715,4
franc,715,1
européen,715,1
europ,716,3
des,716,1
polit,716,1
européen,716,2
europ,717,2
europ,718,2
europ,719,2
europ,720,2
polit,720,2
franc,720,1
europ,721,4
europ,722,1
des,722,3
plus,722,1
comm,722,1
europ,723,8
des,723,1
plus,723,1
tout,723,1
entre,723,1
europ,724,6
polit,724,1
européen,724,2
tout,724,1
comm,724,1
europ,725,9
des,725,2
plus,725,3
européen,725,1
comm,725,1
europ,726,5
franc,726,1
européen,726,1
tout,726,1
comm,726,1
europ,727,4
comm,727,1
europ,728,3
des,728,1
polit,728,1
