num,nom,annee_naissance,annee_decès,bio
441727,Stuurman Siep ,1946.0,,"En poste : Erasmus university, Rotterdam, Pays-Bas (en 1998) (Source DataBNF)"
40074,Triomphe Robert ,1917.0,2019.0,Docteur ès lettres. - Professeur honoraire à l'Université de Strasbourg (en 1989). - Ancien élève de l'Ecole normale supérieure (Source DataBNF)
402714,Wagda Marin,,,
177280,Jacquet Raphaël,,,
252098,Kane Abdoulaye,,,"Ecrit aussi en anglais
Docteur en sociologie de l'Université d'Amsterdam. - Professeur à l'Université de Floride (en 2010) (Source DataBNF)"
36034,Catroux,,,
196864,Lot Ferdinand ,1866.0,1952.0,"Historien, médiéviste. - Archiviste paléographe (1886). - Docteur ès lettres (1903). - Directeur d'études à l'École pratique des Hautes études, IVe section (à partir de 1917). - Professeur à la faculté des lettres de la Sorbonne (1909-1936). - Membre de l'Institut, Académie des Inscriptions et belles-lettres (élu le 1er février 1924) (Source DataBNF)"
273586,Houdaille Jacques ,1924.0,2007.0,
0002531,Musso Pierre,,,
58775,Redor Dominique,,,Économiste. - Maître de conférences à l'Université de Paris-IX Dauphine (en 1988) et membre du CEIPS (Centre d'économie internationale des pays socialistes) (Source DataBNF)
82455,Kodmani-Darwish Bassma ,1958.0,,
26433,Attias-Donfut Claudine ,1941.0,,"Docteur ès lettres et sciences humaines. - Sociologue. - Directrice de l'unité de recherches sur le vieillissement de la Caisse nationale d'assurance vieillesse des travailleurs salariés, Paris (en 1988) (Source DataBNF)"
259996,Wolff François-Charles ,1973.0,,
161657,Tessier Philippe ,1966.0,,
9404,Auger Pierre ,1944.0,,"Professeur et chercheur au CIRAL, Centre interdisciplinaire de recherches sur les activités langagières, Québec, Canada (en 1999) (Source DataBNF)"
26314,Ullmo Yves ,,2006.0,"Magistrat à la Cour des comptes. - Prénoms complets : Yves, Paul, Jean (Source DataBNF)"
35311,Lebed Alexandre,,,
36096,Lomidzé Svetlana,,,
224499,Gilquin Michel,,,Anthropologue diplômé des langues orientales. - Spécialiste de l'Islam non arabe (Source DataBNF)
157012,Boursin Françoise ,1946.0,,
145347,Hirmenech P.-H.,,,
145424,Peytavin Jean-Louis,,,
253973,O,,,
617197,Debierre Ch.,,,
