nom,num_doc,role
81877,1064.0,Chef d'équipe de chercheurs
35535,1064.0,
36292,1064.0,Contributeur
2418,1064.0,Contributeur
4370,1064.0,Contributeur
46258,1064.0,
4372,1064.0,Contributeur
00010641,1065.0,
245950,1066.0,
268237,1067.0,
32976,1069.0,
162743,1070.0,
212061,1071.0,
275176,1072.0,
27800,1073.0,
29925,1073.0,
51737,1074.0,
35989,1075.0,
267555,1076.0,
264362,1077.0,
245953,1078.0,
263490,1079.0,
248592,1080.0,
245741,1081.0,
198541,1082.0,
267369,1083.0,
257097,1085.0,
275339,1086.0,
256607,1088.0,
247628,1091.0,
5572,1092.0,
237948,1093.0,
244486,1094.0,
32976,1095.0,
32976,1096.0,
32976,1097.0,
161028,1098.0,
285843,1099.0,
26731,1100.0,Éditeur intellectuel
165802,1101.0,
179642,1102.0,
25495,1103.0,
9583,1105.0,
80135,1108.0,
365493,1109.0,
35679,1110.0,
47969,1111.0,
46472,1112.0,
47739,1112.0,Traducteur
46590,1113.0,
149231,1114.0,
48353,1115.0,
48002,1115.0,
46338,1116.0,
47398,1116.0,Traducteur
703005,1117.0,
36216,1118.0,
403119,1121.0,
404175,1122.0,
403319,1123.0,
415224,1124.0,
350516,1125.0,
141185,1127.0,
3119,1128.0,
3120,1128.0,
30727,1129.0,
402712,1131.0,
12023,1132.0,
245373,1134.0,
178200,1134.0,
247587,1135.0,
800458,1136.0,
258068,1137.0,
612410,1139.0,Éditeur intellectuel
612487,1139.0,Éditeur intellectuel
720888,1139.0,Éditeur intellectuel
396334,1140.0,Éditeur intellectuel
397361,1140.0,Éditeur intellectuel
156827,1141.0,
850168,1142.0,
705445,1143.0,
705447,1143.0,
705448,1143.0,
351024,1144.0,
221548,1145.0,
403588,1147.0,
00011462,1147.0,Traducteur
216691,1149.0,
836228,1150.0,
48781,1152.0,
47393,1153.0,
264316,1154.0,Éditeur intellectuel
240809,1155.0,
40303,1156.0,
38713,1157.0,
33167,1158.0,
26761,1159.0,
69638,1160.0,
386980,1161.0,
47298,1162.0,
175352,1164.0,
00011641,1165.0,
72002,1166.0,
3119,1167.0,
408637,1167.0,Traducteur
71892,1168.0,
46457,1169.0,
287445,1170.0,
71707,1171.0,
260059,1172.0,
216689,1173.0,
73677,1174.0,
586946,1174.0,
71831,1175.0,
250614,1176.0,
825404,1177.0,
399124,1178.0,
176688,1179.0,
83938,1180.0,
271707,1181.0,
271000,1182.0,
62245,1183.0,
00011831,1184.0,
249644,1185.0,
173896,1186.0,
174833,1187.0,
40688,1188.0,
76797,1189.0,
227659,1190.0,
227291,1191.0,
00011911,1192.0,
224922,1193.0,
853871,1194.0,
00011941,1195.0,
00011942,1195.0,
00011951,1196.0,
00011961,1197.0,
00011962,1197.0,
00011963,1197.0,
665379,1198.0,
854096,1199.0,
271603,1200.0,
00012011,1202.0,
267942,1205.0,
417607,1206.0,
417607,1207.0,
288067,1209.0,
386272,1210.0,
193648,1211.0,
364222,1212.0,
257297,1213.0,
408989,1215.0,
270784,1216.0,
155607,1217.0,
151434,1217.0,Traducteur
396789,1218.0,
26613,1219.0,
00012191,1220.0,
833253,1221.0,
47792,1222.0,
00012221,1223.0,
00012231,1224.0,
259972,1225.0,
